match_date,match_time,match_id,hometeam,awayteam,bet_name,probability,odds,
2025-09-13,22:30:00,2288891,Famalicao,Sporting CP,Deplasman Her İki Yarıyı da Kazanır mı? :: Hayır,89,"1,15",tuttu
2025-09-14,22:00:00,2288066,Juventude,Flamengo,Deplasman Her İki Yarıyı da Kazanır mı? :: Hayır,89,"1,14",
2025-09-14,18:00:00,2284852,AE Kifisia,Panathinaikos,Deplasman Her İki Yarıyı da Kazanır mı? :: Hayır,89,"1,2",
2025-09-13,17:00:00,2288577,Eyüpspor,Galatasaray,Deplasman Her İki Yarıyı da Kazanır mı? :: Hayır,88,"1,23",tuttu
2025-09-14,20:15:00,2287905,Haugesund,Rosenborg,Deplasman Her İki Yarıyı da Kazanır mı? :: Hayır,88,"1,17",
2025-09-14,16:00:00,2288690,Burnley,Liverpool,Deplasman Her İki Yarıyı da Kazanır mı? :: Hayır,88,"1,22",
2025-09-13,19:45:00,2285306,NEC Nijmegen,PSV,Her İki Yarıda da 1.5 Gol Üst Olur mu? :: Hayır,82,"1,23",yattı
2025-09-12,13:00:00,2372533,Shanghai Sipg,Yunnan Yukun,"Toplam Gol Alt/Üst :: 4,5 Alt",79,"1,3",yattı
2025-09-13,19:30:00,2288108,Huesca,Malaga,"Toplam Gol Alt/Üst :: 1,5 Üst",78,"1,38",yattı
2025-09-13,17:15:00,2288650,Cadiz,Eibar,"Toplam Gol Alt/Üst :: 1,5 Üst",78,"1,33",yattı
2025-09-13,17:00:00,2285458,Stoke City,Birmingham,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",78,"1,31",
2025-09-13,20:30:00,2288331,Godoy Cruz,Barracas,"Toplam Gol Alt/Üst :: 1,5 Üst",78,"1,44",
2025-09-14,23:30:00,2288562,Sao Paulo,Botafogo,"Toplam Gol Alt/Üst :: 1,5 Üst",78,"1,35",
2025-09-14,03:00:00,2288217,Fluminense,Corinthians,"Toplam Gol Alt/Üst :: 1,5 Üst",78,"1,39",
2025-09-14,03:15:00,2288080,Sarmiento,Aldosivi,"Toplam Gol Alt/Üst :: 1,5 Üst",78,"1,44",
2025-09-12,21:30:00,2372558,Avellino,Monza,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",77,"1,31",
2025-09-12,02:00:00,2288333,CA Belgrano,S Martin SJ,"Toplam Gol Alt/Üst :: 1,5 Üst",77,"1,49",
2025-09-13,03:15:00,2289079,Ath Lanus,Ind. Mendoza,"Toplam Gol Alt/Üst :: 1,5 Üst",77,"1,43",
2025-09-13,20:00:00,2285412,Atromitos,Aris ,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",77,"1,33",
2025-09-13,15:00:00,2288216,Getafe,Real Oviedo,"Toplam Gol Alt/Üst :: 1,5 Üst",77,"1,38",
2025-09-13,19:00:00,2285002,Thun,Basel,İkinci Yarı Karşılıklı Gol :: 2.Y KG Yok,77,"1,31",
2025-09-13,20:00:00,2284737,El Zamalek,Al Masry,"Toplam Gol Alt/Üst :: 1,5 Üst",77,"1,31",
2025-09-13,21:45:00,2285167,Fiorentina,Napoli,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",77,"1,35",
2025-09-13,16:00:00,2286089,Juve Stabia,Reggiana,"Toplam Gol Alt/Üst :: 1,5 Üst",77,"1,31",
2025-09-14,19:30:00,2288859,S.Gijon,Burgos,"Toplam Gol Alt/Üst :: 1,5 Üst",77,"1,31",
2025-09-13,15:00:00,2282113,Annecy FC,Reims,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",76,"1,32",
2025-09-13,01:00:00,2372574,Racing,San Lorenzo,"Toplam Gol Alt/Üst :: 1,5 Üst",76,"1,38",
2025-09-14,17:30:00,2288558,Estrela Amadora,V.Guimaraes,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",76,"1,32",
2025-09-14,21:00:00,2305873,Al Nassr,Al Kholood,"Toplam Gol Alt/Üst :: 4,5 Alt",76,"1,32",
2025-09-12,01:30:00,2302820,Cruzeiro,A.Mineiro,"Toplam Gol Alt/Üst :: 1,5 Üst",75,"1,34",
2025-09-13,19:45:00,2285306,NEC Nijmegen,PSV,İkinci Yarı Karşılıklı Gol :: 2.Y KG Yok,75,"1,37",
2025-09-13,01:00:00,2372573,Huracan,Velez,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",75,"1,4",
2025-09-13,01:00:00,2372573,Huracan,Velez,"Toplam Gol Alt/Üst :: 1,5 Üst",75,"1,67",
2025-09-14,21:00:00,2305873,Al Nassr,Al Kholood,"Ev Sahibi Gol Alt/Üst :: Ev 3,5 Alt",75,"1,37",
2025-09-15,02:00:00,2288706,Df. Justicia,Platense,"Toplam Gol Alt/Üst :: 1,5 Üst",75,"1,37",
2025-09-15,02:00:00,2288199,CA Tigre,Talleres,"Toplam Gol Alt/Üst :: 1,5 Üst",75,"1,44",
2025-09-13,17:15:00,2289107,Mirandes,Deportivo,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",74,"1,36",
2025-09-13,20:30:00,2285760,Sampdoria,Cesena,"Toplam Gol Alt/Üst :: 1,5 Üst",74,"1,36",
