match_date,match_time,match_id,hometeam,awayteam,bet_name,probability,odds,EV,b,q,f_star
2025-09-21,05:30:00,2303186,San Jose E.,St. Louis,"Ev Sahibi Gol Alt/Üst :: Ev 3,5 Alt",91,"1,25","1,1375","0,25",9,55
2025-09-20,15:30:00,2299960,Ullern,Alta IF 2,"Toplam Gol Alt/Üst :: 4,5 Alt",75,"2,1","1,575","1,1",25,"52,2727272727273"
2025-09-20,16:30:00,2300139,Hoffenheim,Bayern Münih,"Toplam Gol Alt/Üst :: 5,5 Alt",89,"1,29","1,1481","0,29",11,"51,0689655172414"
2025-09-21,21:15:00,2300646,LKS Lodz,Wieczysta Krakow,Her İki Yarıda da 1.5 Gol Üst Olur mu? :: Hayır,90,"1,25","1,125","0,25",10,50
2025-09-21,20:30:00,2303037,Independiente,San Lorenzo,"Toplam Gol Alt/Üst :: 1,5 Üst",79,"1,71","1,3509","0,71",21,"49,4225352112676"
2025-09-20,17:30:00,2393335,AS Gabes,CS Sfaxien,"Toplam Gol Alt/Üst :: 1,5 Üst",80,"1,63","1,304","0,63",20,"48,2539682539682"
2025-09-20,14:00:00,2300727,Frigg,Floya,"Toplam Gol Alt/Üst :: 4,5 Alt",76,"1,86","1,4136","0,86",24,"48,093023255814"
2025-09-20,14:00:00,2300481,Tiller,Volda,"Deplasman Gol Alt/Üst :: Dep 3,5 Alt",75,"1,92","1,44","0,92",25,"47,8260869565217"
2025-09-20,14:00:00,2300590,IL Ulfstind,Sortland IL,"Toplam Gol Alt/Üst :: 4,5 Alt",77,"1,78","1,3706","0,78",23,"47,5128205128205"
2025-09-21,20:30:00,2303037,Independiente,San Lorenzo,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,71,"2,17","1,5407","1,17",29,"46,2136752136752"
2025-09-21,22:45:00,2302969,Godoy Cruz,Instituto,"Toplam Gol Alt/Üst :: 1,5 Üst",79,"1,64","1,2956","0,64",21,"46,1875"
2025-09-20,19:00:00,2300971,Ham-Kam II,Bjoerkelangen,Her İki Yarıda da 1.5 Gol Üst Olur mu? :: Hayır,84,"1,42","1,1928","0,42",16,"45,9047619047619"
2025-09-20,20:30:00,2303022,Barracas,Sarmiento,"Toplam Gol Alt/Üst :: 1,5 Üst",79,"1,63","1,2877","0,63",21,"45,6666666666667"
2025-09-20,17:00:00,2301015,Clyde Bank,Edinburgh,"Ev Sahibi Gol Alt/Üst :: Ev 2,5 Alt",88,"1,28","1,1264","0,28",12,"45,1428571428571"
2025-09-20,18:00:00,2303641,Real Oviedo B,Real Valladolid B,İkinci Yarı Karşılıklı Gol :: 2.Y KG Yok,88,"1,28","1,1264","0,28",12,"45,1428571428571"
2025-09-20,18:40:00,2305792,Al Najma (Suudi),Al Ittihad,İlk Yarı Karşılıklı Gol :: İY KG Yok,88,"1,28","1,1264","0,28",12,"45,1428571428571"
2025-09-20,16:00:00,2303105,Bologna,Genoa,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,75,"1,83","1,3725","0,83",25,"44,8795180722891"
2025-09-21,13:15:00,2302990,Zwolle,Go Ahead,Her İki Yarıda da 1.5 Gol Üst Olur mu? :: Hayır,87,"1,3","1,131","0,3",13,"43,6666666666667"
2025-09-21,22:15:00,2386847,Stjarnan G.,Hafnarfjordur,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,87,"1,3","1,131","0,3",13,"43,6666666666667"
2025-09-21,00:30:00,2303384,Botafogo,A.Mineiro,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,76,"1,74","1,3224","0,74",24,"43,5675675675676"
2025-09-20,19:30:00,2303532,Villarreal,Osasuna,"Toplam Gol Alt/Üst :: 1,5 Üst",85,"1,36","1,156","0,36",15,"43,3333333333333"
2025-09-20,14:00:00,2300481,Tiller,Volda,"Toplam Gol Alt/Üst :: 4,5 Alt",73,"1,91","1,3943","0,91",27,"43,3296703296703"
2025-09-21,22:45:00,2302969,Godoy Cruz,Instituto,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,71,"2,04","1,4484","1,04",29,"43,1153846153846"
2025-09-20,20:30:00,2303022,Barracas,Sarmiento,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,71,"2,04","1,4484","1,04",29,"43,1153846153846"
2025-09-20,17:30:00,2300204,Santa Clara,Alverca,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,74,"1,84","1,3616","0,84",26,"43,047619047619"
2025-09-20,19:30:00,2303532,Villarreal,Osasuna,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,79,"1,58","1,2482","0,58",21,"42,7931034482759"
2025-09-20,17:00:00,2300114,Stevenage,Exeter City,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,77,"1,67","1,2859","0,67",23,"42,6716417910448"
2025-09-21,18:00:00,2303955,Stromsgodset,Sarpsborg,Her İki Yarıda da 1.5 Gol Üst Olur mu? :: Hayır,86,"1,32","1,1352","0,32",14,"42,25"
2025-09-21,15:00:00,2327027,Bangkok Utd.,Buriram Utd.,Çifte Şans :: ÇŞ 1-2,88,"1,26","1,1088","0,26",12,"41,8461538461539"
2025-09-20,15:30:00,2299960,Ullern,Alta IF 2,"Ev Sahibi Gol Alt/Üst :: Ev 3,5 Alt",73,"1,86","1,3578","0,86",27,"41,6046511627907"
2025-09-21,13:00:00,2302946,Beijin Guoan,Shanghai Sipg,İlk Yarı Karşılıklı Gol :: İY KG Yok,83,"1,41","1,1703","0,41",17,"41,5365853658537"
2025-09-22,21:00:00,2305951,Jong Alkmaar,Graafschap,Her İki Yarıda da 1.5 Gol Üst Olur mu? :: Hayır,86,"1,31","1,1266","0,31",14,"40,8387096774194"
2025-09-20,14:00:00,2300481,Tiller,Volda,"İlk Yarı Gol Alt/Üst :: İY 2,5 Alt",80,"1,51","1,208","0,51",20,"40,7843137254902"
2025-09-21,01:00:00,2303357,CA Tigre,Aldosivi,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",84,"1,37","1,1508","0,37",16,"40,7567567567567"
2025-09-21,01:00:00,2303357,CA Tigre,Aldosivi,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,70,"2,02","1,414","1,02",30,"40,5882352941177"
2025-09-21,22:00:00,2303511,Cordoba,R. Santander,Her İki Yarıda da 1.5 Gol Üst Olur mu? :: Hayır,87,"1,28","1,1136","0,28",13,"40,5714285714286"
2025-09-20,17:30:00,2300470,Hanacka Slavia,Dinamo Bud.,İkinci Yarı Karşılıklı Gol :: 2.Y KG Yok,83,"1,4","1,162","0,4",17,"40,5"
2025-09-20,14:00:00,2300450,Fjora ,Bjarg,"Deplasman Gol Alt/Üst :: Dep 3,5 Alt",74,"1,77","1,3098","0,77",26,"40,2337662337662"
2025-09-23,03:00:00,2302952,CA Belgrano,New Old Boys,"Toplam Gol Alt/Üst :: 1,5 Üst",79,"1,54","1,2166","0,54",21,"40,1111111111111"
2025-09-22,01:00:00,2303046,Rosario C.,Talleres,"Toplam Gol Alt/Üst :: 1,5 Üst",78,"1,58","1,2324","0,58",22,"40,0689655172414"
2025-09-21,03:30:00,2302974,Kansas City,Vancouver,"İlk Yarı Gol Alt/Üst :: İY 2,5 Alt",88,"1,25","1,1","0,25",12,40
2025-09-20,16:00:00,2300859,Molde II,Fk Kvik Trondheim,"Ev Sahibi Gol Alt/Üst :: Ev 2,5 Alt",74,"1,76","1,3024","0,76",26,"39,7894736842105"
2025-09-20,16:00:00,2300859,Molde II,Fk Kvik Trondheim,"Toplam Gol Alt/Üst :: 4,5 Alt",76,"1,66","1,2616","0,66",24,"39,6363636363636"
2025-09-20,14:30:00,2300305,Birmingham,Swansea,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",85,"1,33","1,1305","0,33",15,"39,5454545454545"
2025-09-21,15:30:00,2303004,Heerenveen,NEC Nijmegen,Her İki Yarıda da 1.5 Gol Üst Olur mu? :: Hayır,85,"1,33","1,1305","0,33",15,"39,5454545454545"
2025-09-20,16:00:00,2300978,Os,Fyllingsdale,"Toplam Gol Alt/Üst :: 4,5 Alt",72,"1,86","1,3392","0,86",28,"39,4418604651163"
2025-09-22,21:00:00,2305924,Jong PSV,Den Bosch,Her İki Yarıda da 1.5 Gol Üst Olur mu? :: Hayır,86,"1,3","1,118","0,3",14,"39,3333333333333"
