match_id,match_date,match_time,hometeam,awayteam,bet_name,probability,odds,EV,Kelly,stake,bankroll_if_win,bankroll_if_lose,expected_bankroll
2331341,2025-10-03,20:00:00,Thisted,Vendsyssel,Maç Sonucu :: MS 2,54.0,2.17,1.1718,0.1468376068376069,14.68376068376069,1.1718000000000002,0.8531623931623931,1.025226700854701
2330775,2025-10-03,21:30:00,Caerau Ely FC,Newport City FC,İlk Yarı Karşılıklı Gol :: İY KG Yok,88.0,1.28,1.1264,0.4514285714285715,45.14285714285715,1.1264,0.5485714285714285,1.0570605714285715
2331323,2025-10-03,21:45:00,Linfield,Crusaders,"Deplasman Gol Alt/Üst :: Dep 2,5 Alt",96.0,1.2,1.152,0.7599999999999998,75.99999999999997,1.152,0.2400000000000002,1.1155199999999998
2333819,2025-10-03,21:45:00,Cliftonville,Glentoran,"Toplam Gol Alt/Üst :: 0,5 Üst",93.0,1.2,1.1159999999999999,0.5800000000000002,58.00000000000002,1.116,0.4199999999999998,1.06728
2426796,2025-10-04,14:00:00,Landskrona,Varbergs,Maç Skoru :: 0:5,4.0,130.2,5.207999999999999,0.032569659442724455,3.2569659442724457,5.207999999999999,0.9674303405572755,1.1370531269349844
2426814,2025-10-04,15:00:00,Oulu,Vaasan Ps,"Toplam Gol Alt/Üst :: 0,5 Üst",95.0,1.2,1.14,0.6999999999999996,69.99999999999996,1.14,0.3000000000000004,1.098
2337821,2025-10-04,15:30:00,Ascoli,AC Bra,Çifte Şans :: ÇŞ 1-X,93.0,1.2,1.1159999999999999,0.5800000000000002,58.00000000000002,1.116,0.4199999999999998,1.06728
2333250,2025-10-04,17:00:00,United Nordic,Eskilstuna,İkinci Yarı Karşılıklı Gol :: 2.Y KG Var,39.0,2.77,1.0803,0.0453672316384181,4.53672316384181,1.0803,0.954632768361582,1.0036429887005651
2333433,2025-10-04,17:00:00,Varbergs Gif FK,Jonsereds IF,Maç Sonucu :: MS 1,39.0,2.56,0.9984000000000001,0.0,0.0,1.0,1.0,1.0
2333447,2025-10-04,17:00:00,Oxford City,Curzon Ashto,İlk Yarı Karşılıklı Gol :: İY KG Yok,83.0,1.26,1.0458,0.17615384615384597,17.615384615384595,1.0457999999999998,0.823846153846154,1.0080678461538461
2405711,2025-10-04,17:00:00,Workington,UtdOfManch,Maç Sonucu :: MS 2,56.0,2.0100000000000002,1.1256000000000002,0.12435643564356459,12.43564356435646,1.1256000000000004,0.8756435643564354,1.0156191683168316
2405824,2025-10-04,17:00:00,Prescot Cables,Lancaster,"Toplam Gol Alt/Üst :: 2,5 Üst",56.0,1.97,1.1032,0.10639175257731966,10.639175257731965,1.1032000000000002,0.8936082474226803,1.0109796288659794
2334773,2025-10-04,19:00:00,Podbrezova,S. Trnava,"Deplasman İlk Yarı Gol Alt/Üst :: Dep İY 0,5 Üst",66.0,1.71,1.1286,0.18112676056338037,18.112676056338035,1.1286,0.8188732394366196,1.0232929014084506
2334485,2025-10-04,19:45:00,F. Sittard,Volendam,Deplasman Her İki Yarıyı da Kazanır mı? :: Hayır,94.0,1.2,1.128,0.6399999999999996,63.99999999999996,1.128,0.36000000000000043,1.08192
2337079,2025-10-04,20:30:00,Santa Coloma,Rangers FC,"Ev Sahibi Gol Alt/Üst :: Ev 1,5 Alt",67.0,1.56,1.0452000000000001,0.08071428571428584,8.071428571428584,1.0452000000000001,0.9192857142857142,1.0036482857142857
2405794,2025-10-04,21:30:00,Boston River,Juventud,Karşılıklı Gol :: KG Var,52.0,1.95,1.014,0.014736842105263171,1.473684210526317,1.014,0.9852631578947368,1.0002063157894736
2428795,2025-10-05,00:10:00,Union Magdalena,Águilas Doradas,İlk Yarı Karşılıklı Gol :: İY KG Yok,87.0,1.2,1.0439999999999998,0.21999999999999983,21.999999999999982,1.044,0.7800000000000001,1.00968
2428776,2025-10-05,00:30:00,Fluminense,Atletico Mineiro,"Toplam Gol Alt/Üst :: 4,5 Üst",22.0,9.969999999999999,2.1933999999999996,0.13304347826086957,13.304347826086957,2.1933999999999996,0.8669565217391304,1.1587740869565217
2428777,2025-10-05,00:30:00,RB Bragantino,Grêmio FBPA,Deplasman Her İki Yarıyı da Kazanır mı? :: Hayır,97.0,1.2,1.164,0.8199999999999998,81.99999999999999,1.164,0.18000000000000016,1.13448
2428778,2025-10-05,00:30:00,Internacional,Botafogo FR,Maç Skoru :: 1:4,4.0,96.2,3.8480000000000003,0.029915966386554624,2.991596638655462,3.8480000000000003,0.9700840336134454,1.0852006722689076
2332944,2025-10-05,02:00:00,Dep. La Gua,Zamora,Çifte Şans :: ÇŞ 1-X,88.0,1.2,1.056,0.2799999999999999,27.999999999999993,1.056,0.7200000000000001,1.01568
2428958,2025-10-05,02:00:00,Queretaro,Puebla,"İlk Yarı Gol Alt/Üst :: İY 2,5 Alt",89.0,1.2,1.068,0.33999999999999997,34.0,1.068,0.66,1.02312
2428787,2025-10-05,02:30:00,Ferroviaria,America MG,Her İki Yarıda da 1.5 Gol Üst Olur mu? :: Hayır,91.0,1.2,1.092,0.4600000000000001,46.00000000000001,1.092,0.5399999999999999,1.0423200000000001
2337419,2025-10-05,13:00:00,Rayo Vallecano B,RSD Alcala,Karşılıklı Gol :: KG Var,62.0,1.75,1.085,0.11333333333333329,11.333333333333329,1.085,0.8866666666666667,1.0096333333333334
2428968,2025-10-05,13:15:00,Jagiellonia Bialysto,Korona Kielce,Deplasman Her İki Yarıyı da Kazanır mı? :: Hayır,95.0,1.2,1.14,0.6999999999999996,69.99999999999996,1.14,0.3000000000000004,1.098
2337951,2025-10-05,15:00:00,Vaduz,Rapperswil,"Maç Sonucu ve 2,5 Gol Alt/Üst :: MS X ve 2,5 Alt",26.0,4.7700000000000005,1.2402000000000002,0.06371352785145892,6.371352785145892,1.2402000000000002,0.9362864721485411,1.0153039893899205
2337839,2025-10-05,17:00:00,IF Karlstad,IFK Haninge,"Ev Sahibi Gol Alt/Üst :: Ev 2,5 Alt",65.0,1.68,1.092,0.1352941176470588,13.529411764705879,1.092,0.8647058823529412,1.0124470588235295
2337727,2025-10-05,18:00:00,Fredrikstad,H.Kameratene,Deplasman Her İki Yarıyı da Kazanır mı? :: Hayır,95.0,1.2,1.14,0.6999999999999996,69.99999999999996,1.14,0.3000000000000004,1.098
2336819,2025-10-05,18:30:00,Alta,STOR/BLINK,Çifte Şans :: ÇŞ 1-X,63.0,1.4,0.8819999999999999,0.0,0.0,1.0,1.0,1.0
2336948,2025-10-05,19:00:00,Napoli,Genoa,Deplasman Her İki Yarıyı da Kazanır mı? :: Hayır,98.0,1.2,1.176,0.8799999999999999,87.99999999999999,1.176,0.1200000000000001,1.15488
2337599,2025-10-06,00:00:00,Dep. Achuapa,CD Marquense,"Ev Sahibi Gol Alt/Üst :: Ev 1,5 Alt",61.0,1.77,1.0796999999999999,0.10350649350649349,10.350649350649348,1.0796999999999999,0.8964935064935065,1.0082494675324674
2428798,2025-10-06,01:15:00,Atl. Junior,Deportes Tol,İlk Yarı Karşılıklı Gol :: İY KG Yok,87.0,1.2,1.0439999999999998,0.21999999999999983,21.999999999999982,1.044,0.7800000000000001,1.00968
2363485,2025-10-06,01:30:00,Dep. Garcilaso,Alianza Atl.,"Ev Sahibi İlk Yarı Gol Alt/Üst :: Ev İY 0,5 Alt",57.0,2.02,1.1514,0.14843137254901947,14.843137254901947,1.1513999999999998,0.8515686274509805,1.0224725098039213
2346889,2025-10-10,18:00:00,Pohronie,Z. Moravce,"Deplasman İlk Yarı Gol Alt/Üst :: Dep İY 0,5 Üst",62.0,1.72,1.0664,0.09222222222222216,9.222222222222216,1.0664,0.9077777777777778,1.0061235555555554
2349291,2025-10-10,18:00:00,LKS Lodz II,Resovia,"Deplasman İlk Yarı Gol Alt/Üst :: Dep İY 0,5 Üst",68.0,1.8,1.224,0.2800000000000001,28.000000000000007,1.2240000000000002,0.72,1.06272
2358133,2025-10-10,18:00:00,Makedonya U21,Ermenistan U21,"Toplam Gol Alt/Üst :: 1,5 Üst",83.0,1.29,1.0707,0.2437931034482758,24.37931034482758,1.0707,0.7562068965517242,1.017236172413793
2365146,2025-10-10,18:00:00,Letonya U21,Gürcistan U21,Deplasman Hangi Yarıda Daha Fazla Gol Atar? :: Eşit,44.0,2.66,1.1704,0.10265060240963854,10.265060240963853,1.1703999999999999,0.8973493975903615,1.0174916626506025
2339786,2025-10-10,19:00:00,Zimbabve,Güney Afrika,"Karşılıklı Gol ve 2,5 Gol Alt/Üst :: 2,5 Üst ve KG Var",40.0,4.79,1.916,0.24168865435356202,24.168865435356203,1.916,0.758311345646438,1.2213868073878626
2339801,2025-10-10,19:00:00,Sao Tome ve P.,Tunus,"Toplam Gol Alt/Üst :: 4,5 Alt",73.0,1.8,1.314,0.3924999999999999,39.24999999999999,1.314,0.6075000000000002,1.123245
2339815,2025-10-10,19:00:00,Lesotho,Nijerya,Çifte Şans :: ÇŞ X-2,95.0,1.2,1.14,0.6999999999999996,69.99999999999996,1.14,0.3000000000000004,1.098
2339831,2025-10-10,19:00:00,Ruanda,Benin,Her İki Yarıda da 1.5 Gol Üst Olur mu? :: Hayır,94.0,1.2,1.128,0.6399999999999996,63.99999999999996,1.128,0.36000000000000043,1.08192
2346670,2025-10-10,19:00:00,Estonya U21,Lüksemburg U21,"Karşılıklı Gol ve 2,5 Gol Alt/Üst :: 2,5 Üst ve KG Yok",15.0,9.399999999999999,1.4099999999999997,0.048809523809523796,4.88095238095238,1.4099999999999997,0.9511904761904763,1.0200119047619047
