train_index,match_date,match_time,tournament,match_id,homeTeam,awayTeam,firstHalfHomeGoal,firstHalfAwayGoal,totalHomeGoal,totalAwayGoal,homeCorner,awayCorner,index,distance
39,2025-05-18,15:00:00,İsveç Lig 2,2129801,Karlskrona,Rappe Goif,,,,,,,39,0.1630950643030009
456,2025-05-18,20:00:00,Macaristan NB II,2129600,Gyirmot Gyor,Kozarmisleny,,,,,,,456,0.35327043465311403
198,2025-05-16,21:15:00,İsviçre Challenge Ligi,2125807,Vaduz,Schaffhausen,0.0,0.0,1.0,0.0,,,198,0.3630426972134272
504,2025-05-16,18:00:00,Slovakya 2. Lig,2125792,FK Puchov,A. Petrzalka,3.0,1.0,3.0,1.0,,,504,0.5679788728465168
649,2025-05-18,18:00:00,Çekya 1. Lig Şamp. Turu,2143660,Jablonec,Slavia Prag,,,,,,,649,0.8189017035029295
754,2025-05-18,18:00:00,Macaristan NB II,2129606,Szentlorinc,FC Tatabanya,,,,,,,754,0.9630680142129113
54,2025-05-18,21:00:00,İzlanda Lig 1,2125704,T Reykjavik,Grindavik,,,,,,,54,0.9721111047611789
167,2025-05-18,17:00:00,Hırvatistan 1. HNL,2127054,NK Slaven,HNK Gorica,,,,,,,167,0.9805100713404221
330,2025-05-18,14:00:00,İsveç 2.Lig Batı Gotaland,2129813,Astorps FF,Laholms FK,2.0,0.0,2.0,0.0,,,330,1.0056838469419702
613,2025-05-17,14:30:00,Estonya Premium Ligi,2127139,Parnu Vaprus,Tartu JK Tam,2.0,1.0,2.0,1.0,,,613,1.016021653312566
771,2025-05-18,18:00:00,Polonya 1. Lig,2127482,Z. Pruszkow,Stal Rzeszow,,,,,,,771,1.0793979803575695
687,2025-05-16,21:30:00,Macaristan 1. Ligi,2127316,Ujpest,Nyiregyhaza S.,1.0,1.0,2.0,2.0,,,687,1.1493911431710269
93,2025-05-16,19:00:00,Hırvatistan 1. HNL,2127050,Istra 61,Sibenik,2.0,0.0,3.0,0.0,,,93,1.4015705476357583
704,2025-05-17,21:30:00,İsviçre Süper Lig Düşme Turu,2147970,Sion,Grasshoppers,0.0,0.0,2.0,1.0,,,704,1.4227789708876075
270,2025-05-17,18:55:00,Suudi Profesyonel Ligi,2162465,Al Ettifaq,Damac,0.0,0.0,0.0,0.0,,,270,1.4530313141842472
29,2025-05-19,21:00:00,Uruguay Primera Ligi,2164060,R. Montevideo,Miramar Misiones,,,,,,,29,1.522760650923184
